,Genotype,date,modality,plant,no_visible_leaves,no_foliar_primodium,no_total_leaves,no_open_flowers,no_aborted_flowers,no_closed_flowers,no_total_flowers,no_fruits,no_stolons,no_vegetative_bud,no_initiated_bud,no_floral_bud,no_inflorescences,no_branch_crown,no_extension_crown,no_ramifications,order_max,vid
0,Belle_et_Bonne,25-04-2022,A,1.0,44,7,51,0,0,0,82.0,73.0,4,38,0,0,8,3,7,10,3,1
1,Belle_et_Bonne,25-04-2022,A,2.0,31,2,33,0,0,0,78.0,64.0,2,22,1,0,8,2,7,9,3,169
2,Belle_et_Bonne,25-04-2022,A,3.0,43,13,56,0,0,0,70.0,62.0,0,41,0,0,10,4,8,12,4,274
3,Belle_et_Bonne,25-04-2022,A,4.0,30,5,35,0,0,0,66.0,46.0,1,26,1,0,7,3,7,10,5,490
4,Belle_et_Bonne,25-04-2022,A,5.0,37,3,40,0,0,0,103.0,90.0,2,25,1,0,11,3,10,13,4,598
5,Belrubi,25-04-2022,A,1.0,16,3,19,0,0,0,37.0,37.0,0,13,0,0,4,2,4,6,2,727
6,Belrubi,25-04-2022,A,2.0,20,1,21,0,0,0,36.0,36.0,0,14,0,0,4,2,4,6,3,787
7,Belrubi,25-04-2022,A,3.0,32,5,37,0,0,0,52.0,49.0,0,27,0,0,7,3,5,8,3,856
8,Belrubi,25-04-2022,A,4.0,15,0,15,0,0,0,41.0,39.0,0,9,0,0,5,1,4,5,3,982
9,Belrubi,25-04-2022,A,5.0,40,10,50,0,0,0,59.0,47.0,0,38,0,0,8,5,7,12,4,1033
10,CF10122,11-04-2022,A,1.0,17,0,17,0,0,0,20.0,20.0,0,13,0,0,5,1,3,4,2,1192
11,CF10122,11-04-2022,A,2.0,37,0,37,0,0,0,31.0,29.0,0,26,0,0,8,3,8,11,4,1246
12,CF10122,11-04-2022,A,3.0,19,2,21,0,0,0,14.0,12.0,0,15,1,0,4,1,4,5,3,1360
13,CF10122,11-04-2022,A,4.0,29,0,29,0,0,0,33.0,38.0,0,18,0,0,10,4,7,11,3,1429
14,CF10122,11-04-2022,A,5.0,24,0,24,0,0,0,28.0,23.0,0,15,0,0,9,3,6,9,3,1519
15,CF10122,11-04-2022,A,6.0,20,2,22,0,0,0,25.0,24.0,0,15,0,0,7,2,5,7,3,1594
16,CF10277,19-04-2022,A,1.0,32,4,36,0,0,0,35.0,33.0,0,24,0,0,8,4,7,11,3,1663
17,CF10277,19-04-2022,A,2.0,35,1,36,0,0,0,39.0,34.0,0,25,0,0,7,3,7,10,3,1777
18,CF10277,19-04-2022,A,3.0,46,6,52,0,0,0,45.0,39.0,0,37,0,0,9,5,9,14,3,1894
19,CF10277,19-04-2022,A,4.0,32,2,34,0,0,0,39.0,38.0,0,19,0,0,10,5,8,13,3,2059
20,CF10277,19-04-2022,A,5.0,45,6,51,0,0,0,82.0,79.0,0,32,0,0,12,9,10,19,3,2170
21,CF10277,19-04-2022,A,6.0,27,2,29,0,0,0,58.0,56.0,0,16,0,0,9,3,7,10,3,2326
22,CF12074,25-04-2022,A,1.0,53,7,60,0,0,0,97.0,80.0,0,41,0,0,14,5,13,18,4,2437
23,CF12074,25-04-2022,A,2.0,47,6,53,0,0,0,73.0,59.0,0,32,2,0,15,6,13,19,4,2635
24,CF12074,25-04-2022,A,3.0,33,9,42,0,0,0,47.0,43.0,1,27,0,0,10,4,9,13,5,2803
25,CF12074,25-04-2022,A,4.0,20,3,23,0,0,0,32.0,26.0,0,14,0,0,6,3,5,8,3,2941
26,CF12074,25-04-2022,A,5.0,45,12,57,0,0,0,44.0,39.0,1,39,0,0,10,7,8,15,3,3016
27,CF12074,25-04-2022,A,6.0,57,3,60,0,0,0,73.0,64.0,0,42,0,0,10,7,9,16,3,3199
28,CF9416,25-04-2022,A,1.0,39,7,46,0,0,0,44.0,35.0,1,34,0,0,6,5,5,10,3,3388
29,CF9416,25-04-2022,A,2.0,47,5,52,0,0,0,28.0,19.0,0,39,0,0,11,6,10,16,4,3535
30,CF9416,25-04-2022,A,3.0,48,5,53,0,0,0,50.0,41.0,0,36,0,0,13,6,10,16,4,3695
31,CF9416,25-04-2022,A,4.0,47,6,53,0,0,0,37.0,32.0,2,39,0,0,8,4,7,11,3,3869
32,CF9416,25-04-2022,A,5.0,23,2,25,0,0,0,31.0,25.0,0,18,0,0,6,1,6,7,4,4040
33,Ciflorette,05-04-2022,A,1.0,45,2,47,0,0,0,41.0,29.0,0,34,0,0,9,8,5,13,3,4118
34,Ciflorette,05-04-2022,A,2.0,34,3,37,0,0,0,42.0,0.0,0,20,0,0,10,3,8,11,6,4262
35,Ciflorette,05-04-2022,A,3.0,30,6,36,0,0,0,25.0,0.0,0,28,0,0,5,3,5,8,3,4395
36,Ciflorette,05-04-2022,A,4.0,24,1,25,0,0,0,30.0,23.0,0,15,0,0,8,3,5,8,3,4506
37,Ciflorette,05-04-2022,A,5.0,30,1,31,0,0,0,56.0,50.0,0,19,0,0,10,3,7,10,4,4593
38,Ciflorette,05-04-2022,A,6.0,42,2,44,0,0,0,46.0,30.0,0,32,0,0,10,4,7,11,4,4695
39,Cigaline,19-04-2022,A,1.0,51,16,67,0,0,0,41.0,40.0,0,56,0,0,6,5,6,11,2,4846
40,Cigaline,19-04-2022,A,2.0,36,6,42,0,0,0,55.0,51.0,0,28,0,0,10,4,9,13,3,5050
41,Cigaline,19-04-2022,A,2.0,21,0,21,0,0,0,29.0,29.0,0,12,0,0,7,2,4,6,3,5182
42,Cigaline,19-04-2022,A,4.0,14,1,15,0,0,0,27.0,25.0,0,10,0,0,4,1,4,5,3,5272
43,Cireine,25-04-2022,A,1.0,23,4,27,0,0,0,29.0,29.0,1,21,0,0,4,1,4,5,3,5320
44,Cireine,25-04-2022,A,2.0,18,0,18,0,0,0,45.0,44.0,0,12,0,0,5,1,5,6,3,5404
45,Cireine,25-04-2022,A,3.0,31,2,33,0,0,0,46.0,44.0,0,22,0,0,8,3,8,11,4,5461
46,Cireine,25-04-2022,A,4.0,41,1,42,0,0,0,32.0,31.0,6,27,0,0,6,3,6,9,3,5563
47,Cireine,25-04-2022,A,5.0,29,8,37,0,0,0,26.0,26.0,5,28,0,0,3,1,3,4,2,5692
48,Cireine,25-04-2022,A,6.0,16,1,17,0,0,0,29.0,29.0,0,11,0,0,4,2,4,6,3,5806
49,CIR107,05-04-2022,A,1.0,34,5,39,0,0,0,58.0,40.0,0,26,0,0,10,3,9,12,4,5860
50,CIR107,05-04-2022,A,2.0,46,4,50,0,0,0,47.0,41.0,0,38,0,0,8,4,7,11,3,5986
51,CIR107,05-04-2022,A,3.0,20,3,23,0,0,0,0.0,0.0,0,19,0,0,5,2,5,7,3,6142
52,CIR107,05-04-2022,A,4.0,23,2,25,0,0,0,41.0,31.0,0,16,0,0,8,3,6,9,3,6214
53,CIR107,05-04-2022,A,5.0,37,1,38,0,0,0,34.0,53.0,0,23,0,0,12,4,11,15,4,6292
54,CIR107,05-04-2022,A,6.0,47,3,50,0,0,0,35.0,25.0,0,35,0,0,10,6,7,13,3,6409
55,Clery,05-04-2022,A,1.0,26,4,30,0,0,0,37.0,26.0,0,19,0,0,7,2,7,9,4,6571
56,Clery,05-04-2022,A,2.0,19,3,22,0,0,0,28.0,28.0,0,15,0,0,5,1,4,5,3,6676
57,Clery,05-04-2022,A,3.0,24,3,27,0,0,0,21.0,21.0,0,18,0,0,6,2,5,7,3,6751
58,Clery,05-04-2022,A,4.0,12,0,12,0,0,0,6.0,6.0,0,7,0,0,4,1,2,3,2,6850
59,Clery,05-04-2022,A,5.0,38,6,44,0,0,0,54.0,45.0,0,30,0,0,8,5,7,12,3,6888
60,Clery,05-04-2022,A,1.0,21,2,23,0,0,0,32.0,31.0,0,14,0,0,6,3,4,7,3,7044
61,Darselect,05-04-2022,A,1.0,27,0,27,0,0,0,44.0,41.0,0,15,0,0,10,2,8,10,4,7122
62,Darselect,05-04-2022,A,2.0,12,1,13,0,0,0,27.0,27.0,0,6,0,0,5,1,4,5,3,7215
63,Darselect,05-04-2022,A,3.0,23,1,24,0,0,0,40.0,40.0,0,15,0,0,6,3,5,8,4,7263
64,Darselect,05-04-2022,A,4.0,23,5,28,0,0,0,23.0,20.0,0,19,0,0,6,3,6,9,4,7341
65,Darselect,05-04-2022,A,5.0,15,0,15,0,0,0,35.0,33.0,0,9,0,0,6,1,5,6,3,7428
66,Dream,19-04-2022,A,1.0,28,1,29,0,0,0,32.0,23.0,0,17,0,0,10,3,8,11,5,7476
67,Dream,19-04-2022,A,2.0,49,2,51,0,0,0,34.0,34.0,0,32,0,0,16,4,14,18,6,7572
68,Dream,19-04-2022,A,3.0,20,3,23,0,0,0,39.0,26.0,0,14,0,0,7,2,7,9,4,7752
69,Dream,19-04-2022,A,4.0,46,2,48,0,0,0,52.0,38.0,0,30,0,0,14,5,10,15,4,7824
70,Dream,19-04-2022,A,5.0,15,0,15,0,0,0,21.0,18.0,0,11,0,0,5,1,3,4,3,7989
71,gariguette,05-04-2022,A,1.0,20,0,20,0,0,0,44.0,36.0,0,15,0,0,4,1,3,4,2,8037
72,gariguette,05-04-2022,A,2.0,36,0,36,0,0,0,56.0,45.0,0,28,0,0,6,2,5,7,3,8121
73,gariguette,05-04-2022,A,3.0,23,0,23,0,0,0,23.0,17.0,0,17,0,0,6,3,3,6,3,8247
74,gariguette,05-04-2022,A,4.0,36,5,41,0,0,0,64.0,0.0,0,28,0,0,9,5,6,11,3,8319
75,gariguette,05-04-2022,A,5.0,14,1,15,0,0,0,37.0,0.0,0,10,0,0,3,1,2,3,2,8463
76,gariguette,05-04-2022,A,6.0,28,0,28,0,0,0,37.0,26.0,0,21,0,0,7,4,2,6,2,8526
77,Leroy Ladurie,19-04-2022,A,1.0,21,10,31,0,0,0,27.0,22.0,6,22,0,0,4,1,4,5,3,8622
78,Leroy Ladurie,19-04-2022,A,2.0,21,8,29,0,0,0,28.0,17.0,6,19,0,0,5,1,5,6,5,8718
79,Leroy Ladurie,19-04-2022,A,3.0,31,12,43,0,0,0,32.0,26.0,12,26,0,0,3,2,3,5,2,8808
80,Leroy Ladurie,19-04-2022,A,4.0,57,23,80,0,0,0,67.0,47.0,15,60,0,0,5,5,5,10,2,8940
81,Leroy Ladurie,19-04-2022,A,4.0,40,6,46,0,0,0,36.0,24.0,10,32,0,0,4,3,4,7,2,9183
82,Leroy Ladurie,19-04-2022,A,6.0,36,12,48,0,0,0,58.0,33.0,15,26,0,0,4,2,4,6,2,9324
83,Magnum,11-04-2022,A,1.0,23,0,23,0,0,0,28.0,20.0,0,14,0,0,7,3,4,7,2,9477
84,Magnum,11-04-2022,A,2.0,39,8,47,0,0,0,20.0,19.0,0,36,0,0,5,6,4,10,2,9555
85,Magnum,11-04-2022,A,3.0,20,1,21,0,0,0,29.0,26.0,0,13,0,0,7,2,4,6,2,9705
86,Magnum,11-04-2022,A,4.0,33,8,41,0,0,0,44.0,32.0,0,30,0,0,7,4,6,10,3,9777
87,Magnum,11-04-2022,A,5.0,24,2,26,0,0,0,19.0,19.0,0,19,0,0,6,4,3,7,2,9909
88,Magnum,11-04-2022,A,6.0,30,6,36,0,0,0,38.0,32.0,0,27,0,0,6,3,6,9,3,9990
89,Manon,05-04-2022,A,1.0,29,1,30,0,0,0,35.0,32.0,0,18,0,0,10,4,7,11,5,10101
90,Manon,05-04-2022,A,2.0,23,4,27,0,0,0,33.0,28.0,0,20,0,0,4,2,4,6,3,10203
91,Manon,05-04-2022,A,3.0,28,6,34,0,0,0,42.0,17.0,0,25,0,0,6,3,5,8,2,10293
92,Manon,05-04-2022,A,4.0,26,2,28,0,0,0,36.0,25.0,0,20,0,0,6,3,5,8,2,10404
93,Manon,05-04-2022,A,5.0,19,3,22,0,0,0,23.0,10.0,0,18,0,0,3,1,3,4,2,10491
94,Manon,05-04-2022,A,6.0,14,0,14,0,0,0,14.0,11.0,0,10,0,0,4,1,2,3,2,10560
95,Moutot,19-04-2022,A,1.0,10,0,10,0,0,0,41.0,26.0,0,6,0,0,4,0,3,3,3,10608
96,Moutot,19-04-2022,A,2.0,17,2,19,0,0,0,32.0,28.0,0,13,0,0,5,1,5,6,3,10647
97,Moutot,19-04-2022,A,3.0,11,2,13,0,0,0,27.0,20.0,0,11,0,0,2,0,2,2,2,10707
98,Moutot,19-04-2022,A,4.0,20,7,27,0,0,0,41.0,34.0,0,21,0,0,7,1,7,8,5,10749
99,Osiris,11-04-2022,A,1.0,18,1,19,0,0,0,24.0,17.0,0,12,0,0,6,2,3,5,3,10833
100,Osiris,11-04-2022,A,2.0,39,2,41,0,0,0,66.0,46.0,0,27,0,0,9,6,8,14,3,10899
101,Osiris,11-04-2022,A,3.0,30,4,34,0,0,0,50.0,33.0,0,24,0,0,7,3,6,9,3,11025
102,Osiris,11-04-2022,A,4.0,54,9,63,0,0,0,60.0,57.0,0,45,0,0,11,7,10,17,3,11136
103,Osiris,11-04-2022,A,5.0,35,1,36,0,0,0,46.0,35.0,0,25,0,0,7,5,5,10,2,11334
104,Osiris,11-04-2022,A,6.0,41,7,48,0,0,0,49.0,40.0,0,33,0,0,10,5,8,13,4,11448
105,Rubis,19-04-2022,A,1.0,28,5,33,0,0,0,23.0,20.0,0,27,0,0,7,1,7,8,6,11607
106,Rubis,19-04-2022,A,2.0,18,1,19,0,0,0,34.0,27.0,2,11,0,0,4,1,4,5,4,11709
107,Rubis,19-04-2022,A,3.0,14,6,20,0,0,0,19.0,16.0,2,16,0,0,2,0,2,2,2,11772
108,Rubis,19-04-2022,A,4.0,11,0,11,0,0,0,20.0,15.0,0,8,0,0,3,0,3,3,3,11835
109,Sanié,19-04-2022,A,1.0,33,1,34,0,0,0,43.0,40.0,0,18,0,0,12,3,10,13,5,11871
110,Sanié,19-04-2022,A,2.0,31,2,33,0,0,0,57.0,56.0,0,22,0,0,9,2,8,10,4,11985
111,Sanié,19-04-2022,A,3.0,39,2,41,0,0,0,40.0,36.0,0,27,0,0,13,4,10,14,4,12093
112,Sanié,19-04-2022,A,4.0,19,4,23,0,0,0,32.0,31.0,0,15,0,0,8,1,7,8,6,12219
113,Sanié,19-04-2022,A,5.0,24,4,28,0,0,0,44.0,34.0,0,18,0,0,7,2,8,10,5,12291
114,Sanié,19-04-2022,A,6.0,7,0,7,0,0,0,23.0,20.0,0,5,0,0,3,0,2,2,2,12378
115,Sans rivale,05-04-2022,A,1.0,84,9,93,0,0,0,164.0,142.0,0,62,0,0,20,9,18,27,4,12402
116,Sans rivale,05-04-2022,A,2.0,25,0,25,0,0,0,53.0,46.0,0,14,0,0,7,4,5,9,3,12705
117,Sans rivale,05-04-2022,A,3.0,34,4,38,0,0,0,99.0,99.0,0,25,0,0,9,4,8,12,3,12789
